feature,mean_shap,rank
price_vs_city_median,1.3156119600774805,1
city_fraud_rate,0.6812050958090544,2
price_per_sqft,0.6623318448855917,3
bath_per_bed,0.4263721994705121,4
price,0.3613631356312066,5
state_median_price,0.2830844089749388,6
city_median_price,0.28021173647539466,7
price_log,0.18228180492446835,8
zip_listing_count,0.1820577694357749,9
house_size,0.1155909284234074,10
acre_lot,0.11274944396918579,11
state,0.10843618838482481,12
bed,0.06234526948960743,13
days_since_last_sale,0.04133525525789525,14
sold_year,0.03178534780777895,15
house_size_log,0.02925211570575418,16
status,0.027544213790210093,17
acre_lot_log,0.026214310871027133,18
sold_month,0.019062180462947973,19
bath,0.01316557843263516,20
is_large_property,0.0028379501176402054,21
